id,participantId,timeOfNotification,timeOfEngagement,timeOfContext,timeOfValence,timeOfArousal,valence,arousal,context
16,3,1011885,1031630,1048935,1039714,1043750,NEGATIVE,LOW,CONVERSATION
17,3,1764167,1768115,1794167,1777001,1790185,NEUTRAL,HIGH,CONVERSATION
22,3,4852881,4929930,4974627,4963038,4970708,NEGATIVE,HIGH,CONVERSATION
24,3,6169580,6191219,6207613,6200060,6203908,NEUTRAL,LOW,CONVERSATION
36,4,6258034,6306827,6350439,6341905,6346349,POSITIVE,LOW,CONVERSATION
51,6,2223253,2241585,2264887,2252721,2259434,POSITIVE,LOW,WALKING
58,7,2946746,2955282,2980581,2966335,2975176,NEUTRAL,LOW,VIEW_BOOTH
71,9,2254651,2271819,3737241,2283233,2287237,NEUTRAL,HIGH,VIEW_BOOTH
77,10,2278818,2288071,2316326,2302447,2310891,NEUTRAL,MEDIUM,WALKING
82,10,5417150,5432962,5451095,5442474,5446660,NEGATIVE,LOW,OTHER
93,11,2911933,2918540,2934638,2926380,2930641,NEUTRAL,LOW,OTHER
114,14,2210289,2218612,2236363,2231282,2233720,NEUTRAL,LOW,OTHER
119,14,5422344,5460655,5468614,5464395,5466205,POSITIVE,HIGH,OTHER
133,15,7322566,7326529,7370005,7336440,7340684,NEUTRAL,MEDIUM,OTHER
165,19,3921753,3925215,3939677,3931322,3934806,NEUTRAL,HIGH,WALKING
185,22,428119,434457,454721,442558,446783,NEUTRAL,MEDIUM,OTHER
228,25,3016822,3024054,3031747,3027717,3029548,POSITIVE,MEDIUM,OTHER
246,27,536701,543426,572213,559651,565921,POSITIVE,MEDIUM,OTHER
250,27,3196398,3200121,3210968,3204262,3208914,NEUTRAL,LOW,OTHER
282,29,6444878,6447815,6699311,6452365,6455099,POSITIVE,MEDIUM,OTHER
288,30,3469211,3472891,3480588,3476766,3478485,POSITIVE,HIGH,CONVERSATION
294,30,7206549,7210380,7218136,7214044,7216234,POSITIVE,MEDIUM,CONVERSATION
295,30,8175968,8188976,8197301,8194089,8195626,NEUTRAL,MEDIUM,CONVERSATION
313,32,4930815,4940270,4949457,4944587,4946735,POSITIVE,HIGH,WALKING
330,33,7428337,7546845,7554072,7550332,7552007,POSITIVE,HIGH,CONVERSATION
366,36,8227815,8230769,8237425,8233706,8235518,NEUTRAL,HIGH,WALKING
379,37,8142726,8146314,8155828,8150876,8152986,NEUTRAL,LOW,VIEW_BOOTH
401,39,5419179,5440077,5448412,5444012,5446784,POSITIVE,HIGH,CONVERSATION
402,39,5971099,5975971,5983904,5979615,5982259,POSITIVE,MEDIUM,CONVERSATION
434,42,3412215,3415935,3423645,3419517,3421448,POSITIVE,MEDIUM,CONVERSATION
